ID iQ Bin S1 S2 BOP BRP
1 4.033 1 4.915 4.915 125 5
2 4.068 1 4.915 4.915 130 5
3 22.482 1 4.866 4.865 60 405
4 3.966 1 4.915 4.915 125 5
5 3.905 1 4.915 4.915 120 5
6 3.794 1 4.915 4.915 120 5
7 3.871 1 4.915 4.915 125 5
8 3.863 1 4.915 4.915 130 5
9 3.844 1 4.915 4.915 60 5
10 3.866 1 4.915 4.915 130 5
11 3.948 1 4.915 4.915 130 5
12 4.050 1 4.914 4.915 120 5
13 3.954 1 4.915 4.915 135 5
14 3.912 1 4.915 4.915 60 5
15 3.826 1 4.915 4.915 125 5
16 3.881 1 4.915 4.915 125 5
17 3.942 1 4.915 4.915 125 5
18 3.867 1 4.915 4.915 60 5
19 3.922 1 4.915 4.915 130 5
20 3.838 1 4.915 4.504 60 405
21 3.974 1 4.915 4.915 125 5
22 3.734 1 4.915 4.915 125 5
23 3.827 1 4.915 4.915 120 5
24 3.780 1 4.915 4.915 60 5
25 3.876 1 4.915 4.915 125 5
26 3.941 1 4.915 4.915 130 5
27 3.865 1 4.915 4.915 120 5
28 4.008 1 4.915 4.915 120 5
29 4.060 1 4.914 4.915 125 5
30 3.920 1 4.915 4.915 120 5
31 3.968 1 4.915 4.915 125 5
32 3.963 1 4.915 4.915 60 5
33 3.972 3 -0.003 0.000 0 0
34 3.883 1 4.915 4.915 130 5
35 3.876 1 4.915 4.915 60 5
36 3.975 1 4.915 4.915 60 5
37 3.887 1 4.915 3.276 125 5
38 3.823 1 4.915 4.915 120 5
39 3.911 1 4.915 4.915 125 5
40 3.852 1 4.926 4.926 60 405
41 0.125 1 4.926 4.926 60 405
